"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CSTA",0,5.22492351406188,0.965,0.074,0
"RP11-1143G9.4",0,6.03859666548131,0.976,0.09,0
"MNDA",0,5.07792154131541,0.98,0.11,0
"S100A12",0,6.24364397131179,0.922,0.082,0
"FCN1",0,4.71129383865888,0.989,0.16,0
"VCAN",0,5.7227597191184,0.871,0.06,0
"LGALS2",0,5.10953871249872,0.887,0.09,0
"CD14",0,5.4730415330123,0.843,0.051,0
"MS4A6A",0,4.89888701329915,0.832,0.057,0
"SERPINA1",0,3.3570938757568,0.851,0.095,0
"FGL2",0,4.12375017546156,0.828,0.079,0
"CFD",0,3.5377063512684,0.838,0.093,0
"TYMP",0,3.44569399204844,0.958,0.222,0
"AIF1",0,3.31274794997243,0.989,0.256,0
"LST1",0,3.0585542747424,0.996,0.264,0
"FCER1G",0,2.64728277478194,0.984,0.279,0
"GRN",0,3.37633748901399,0.894,0.193,0
"SPI1",0,3.12873964511596,0.829,0.128,0
"CYBB",0,3.70803470992842,0.783,0.096,0
"CLEC7A",0,4.27118980433623,0.741,0.055,0
"KLF4",0,3.7617271667813,0.781,0.099,0
"CD36",0,5.10905448064405,0.699,0.036,0
"AP1S2",0,3.31421144781144,0.936,0.275,0
"CFP",0,3.53421147716076,0.76,0.1,0
"TYROBP",0,3.66027888916526,1,0.342,0
"LGALS1",0,3.28743625882273,0.987,0.338,0
"BLVRB",0,3.87173554710973,0.735,0.091,0
"CD68",0,3.06395058358304,0.721,0.081,0
"TNFSF13B",0,4.11718270279982,0.709,0.069,0
"RGS2",0,2.82995653590438,0.893,0.258,0
"CSF3R",0,4.97248187702328,0.661,0.035,0
"CST3",0,3.77759132538801,1,0.385,0
"RNF130",0,3.46987177257927,0.706,0.098,0
"STXBP2",0,2.70179875219064,0.848,0.244,0
"FCGRT",0,2.764407584414,0.819,0.216,0
"NAMPT",0,3.44612300937025,0.723,0.12,0
"MPEG1",0,3.63197311588962,0.669,0.079,0
"CPVL",0,4.32134818557092,0.637,0.048,0
"CD302",0,4.44311661839753,0.622,0.044,0
"PYCARD",0,2.36172615150948,0.848,0.276,0
"DUSP6",0,3.6041934824582,0.639,0.074,0
"LGALS3",0,3.33135959029177,0.648,0.087,0
"CD3E",0,-3.66925261576599,0.147,0.708,0
"S100A11",0,2.67815729689279,0.991,0.43,0
"CXCL8",0,4.8757263889608,0.628,0.071,0
"NPC2",0,2.30058995017701,0.916,0.363,0
"RBP7",0,5.33717370578424,0.58,0.027,0
"IL1B",0,4.67749951722939,0.599,0.047,0
"IFI30",0,3.38176389342587,0.603,0.055,0
"TKT",0,2.48707352173601,0.89,0.347,0
"NUP214",0,3.53564523965014,0.622,0.082,0
"MGST1",0,5.89249633585971,0.551,0.015,0
"EVL",0,-2.60377147411602,0.306,0.84,0
"KCTD12",0,4.84565926683369,0.559,0.033,0
"GPX1",0,3.02736547080374,0.993,0.469,0
"CLEC4A",0,3.94320108882643,0.565,0.05,0
"TRAC",0,-3.48887934078814,0.242,0.756,0
"NCF2",0,3.87582833270425,0.559,0.049,0
"CEBPB",0,2.1532768505821,0.787,0.278,0
"C4orf48",0,2.37539001147598,0.712,0.203,0
"GCA",0,3.09598209864329,0.617,0.111,0
"CEBPD",0,3.07142769274513,0.587,0.089,0
"CD3D",0,-3.08884024839308,0.236,0.725,0
"PLBD1",0,5.23823255595806,0.508,0.023,0
"RNASE6",0,2.96509619955158,0.568,0.083,0
"IGSF6",0,3.87128729584886,0.528,0.044,0
"PLAUR",0,3.80610852745025,0.53,0.048,0
"CDA",0,4.34907227016126,0.52,0.039,0
"CTSD",0,2.19658622152596,0.789,0.309,0
"PSAP",0,2.43525250467902,0.986,0.506,0
"AP2S1",0,1.95563298130415,0.819,0.343,0
"TGFBI",0,3.91699371257384,0.517,0.042,0
"TSPO",0,2.41652800256934,0.976,0.509,0
"NFKBIA",0,2.34958307695883,0.893,0.427,0
"S100A8",0,5.8628975815153,0.999,0.534,0
"ASGR1",0,5.08137191223763,0.482,0.02,0
"GSTP1",0,2.47348607672467,0.97,0.51,0
"CLEC12A",0,4.33571858205214,0.489,0.032,0
"RAC1",0,1.88470400261617,0.877,0.422,0
"CTSS",0,3.23143802082886,0.999,0.548,0
"HLA-DRB1",0,1.40279620900257,0.967,0.517,0
"IL32",0,-3.36754310937509,0.312,0.753,0
"RAB32",0,4.09224433068793,0.464,0.032,0
"LTB",0,-2.91316307797614,0.472,0.902,0
"SRGN",0,2.23829792796113,0.988,0.566,0
"JUND",0,1.91716132773605,0.844,0.423,0
"LYZ",0,5.3618697492729,1,0.59,0
"TNFAIP2",0,4.32940917582669,0.43,0.028,0
"FKBP1A",0,1.67728681469484,0.883,0.492,0
"NEAT1",0,2.43333945959465,0.998,0.609,0
"HNMT",0,4.91290732339019,0.405,0.019,0
"COTL1",0,1.64099481668,0.981,0.616,0
"S100A9",0,5.62096525100238,1,0.636,0
"SAT1",0,2.00681566192266,0.985,0.623,0
"HLA-DRA",0,1.17985344199217,0.997,0.651,0
"LAMTOR4",0,1.44694912205678,0.934,0.591,0
"TCEB2",0,1.48145067372967,0.969,0.692,0
"C14orf2",0,1.5975573547964,0.97,0.714,0
"S100A4",0,2.12806686741413,1,0.799,0
"VIM",0,1.3128850522333,0.974,0.797,0
"GLTSCR2",0,-1.25559106140281,0.813,0.957,0
"S100A6",0,2.66935085504842,1,0.867,0
"GAPDH",0,1.50589438630226,0.991,0.872,0
"CYBA",0,1.45596302060297,0.999,0.908,0
"FOS",0,1.19390093574586,0.999,0.929,0
"RPSA",0,-1.49420645435446,0.927,0.996,0
"H3F3A",0,1.26721752692351,0.999,0.947,0
"OAZ1",0,1.27984216792741,0.999,0.947,0
"SERF2",0,1.01534962463182,0.999,0.964,0
"RPL5",0,-0.969851911491831,0.965,0.996,0
"ATP5E",0,0.974595705913454,0.996,0.97,0
"RPS20",0,-0.972937668391261,0.984,0.999,0
"RPS5",0,-1.01335569377822,0.984,0.997,0
"RPL10A",0,-0.828618417657323,0.989,0.998,0
"RPS21",0,-0.834313682180487,0.986,0.995,0
"RPS7",0,-0.741150068349007,0.99,0.998,0
"FTH1",0,1.97242362947422,0.999,0.994,0
"FTL",0,2.66571948990217,1,0.996,0
"RPL31",0,-1.11568641069409,0.995,0.999,0
"RPL3",0,-1.14200121036454,0.996,0.999,0
"RPL30",0,-0.949123595617922,0.996,0.999,0
"RPS25",0,-0.978217119175322,0.996,0.999,0
"RPL19",0,-0.741446005047426,0.998,1,0
"RPL27A",0,-0.756701207523177,0.997,0.999,0
"RPS12",0,-0.760003722786723,0.998,1,0
"RPS3",0,-1.05568023874259,0.997,0.999,0
"MT-CO2",0,0.757315525889559,1,0.999,0
"RPLP2",0,-0.75948650758747,0.999,1,0
"RPS15A",0,-0.669711034474496,1,0.999,0
"RPS19",0,-0.81116661228971,1,0.999,0
"RPS23",0,-0.73420054175323,1,0.999,0
"RPS24",0,0.646860326899638,1,0.999,0
"RPS4X",0,-0.731630830338409,0.998,0.999,0
"RPS6",0,-0.948685913891621,0.999,1,0
"EEF1A1",0,-0.767419650390103,1,1,0
"MALAT1",0,-0.996893012563168,1,1,0
"MT-CO1",0,0.873743738952268,1,1,0
"MT-CO3",0,0.670296887409362,1,1,0
"RPL13A",0,-0.708843720446958,1,1,0
